0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.45,0.17,0.12,0.31,0.12,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.05,0.0,0.0,0.05,0.05
0.17,0.12,0.31,0.12,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.05,0.0,0.0,0.05,0.0,0.0
0.12,0.31,0.12,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.05,0.0,0.0,0.05,0.0,0.02,0.02
0.31,0.12,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.05,0.0,0.0,0.05,0.0,0.02,0.05,0.05
0.12,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.05,0.0,0.0,0.05,0.0,0.02,0.05,0.02,0.02
0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.05,0.0,0.0,0.05,0.0,0.02,0.05,0.02,0.02,0.02
0.1,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.05,0.0,0.0,0.05,0.0,0.02,0.05,0.02,0.02,0.0,0.0
0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.05,0.0,0.0,0.05,0.0,0.02,0.05,0.02,0.02,0.0,0.02,0.02
0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.05,0.0,0.0,0.05,0.0,0.02,0.05,0.02,0.02,0.0,0.02,0.0,0.0
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.05,0.0,0.0,0.05,0.0,0.02,0.05,0.02,0.02,0.0,0.02,0.0,0.05,0.05
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.05,0.0,0.0,0.05,0.0,0.02,0.05,0.02,0.02,0.0,0.02,0.0,0.05,0.07,0.07
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.05,0.0,0.0,0.05,0.0,0.02,0.05,0.02,0.02,0.0,0.02,0.0,0.05,0.07,0.24,0.24
0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.05,0.0,0.0,0.05,0.0,0.02,0.05,0.02,0.02,0.0,0.02,0.0,0.05,0.07,0.24,0.36,0.36
0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.05,0.0,0.0,0.05,0.0,0.02,0.05,0.02,0.02,0.0,0.02,0.0,0.05,0.07,0.24,0.36,0.36,0.36
0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.05,0.0,0.0,0.05,0.0,0.02,0.05,0.02,0.02,0.0,0.02,0.0,0.05,0.07,0.24,0.36,0.36,0.19,0.19
