0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.07
0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.0
0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.02
0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0
0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.07
0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.02
0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.12
0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,0.42
0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,2.63
0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,4.93
0.02,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,7.31
0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.01
0.0,0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.28,11.28
0.0,0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.28,8.82,8.82
0.02,0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.28,8.82,5.87,5.87
0.02,0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.28,8.82,5.87,3.72,3.72
0.05,0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.28,8.82,5.87,3.72,2.01,2.01
0.07,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.28,8.82,5.87,3.72,2.01,2.11,2.11
0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.28,8.82,5.87,3.72,2.01,2.11,0.79,0.79
0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.28,8.82,5.87,3.72,2.01,2.11,0.79,0.74,0.74
0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.28,8.82,5.87,3.72,2.01,2.11,0.79,0.74,0.57,0.57
0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.28,8.82,5.87,3.72,2.01,2.11,0.79,0.74,0.57,0.17,0.17
0.02,0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.28,8.82,5.87,3.72,2.01,2.11,0.79,0.74,0.57,0.17,0.07,0.07
0.02,0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.28,8.82,5.87,3.72,2.01,2.11,0.79,0.74,0.57,0.17,0.07,0.02,0.02
0.0,0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.28,8.82,5.87,3.72,2.01,2.11,0.79,0.74,0.57,0.17,0.07,0.02,0.02,0.02
0.02,0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.28,8.82,5.87,3.72,2.01,2.11,0.79,0.74,0.57,0.17,0.07,0.02,0.02,0.02,0.02
0.0,0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.28,8.82,5.87,3.72,2.01,2.11,0.79,0.74,0.57,0.17,0.07,0.02,0.02,0.02,0.02,0.02
0.0,0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.28,8.82,5.87,3.72,2.01,2.11,0.79,0.74,0.57,0.17,0.07,0.02,0.02,0.02,0.02,0.0,0.0
0.07,0.02,0.12,0.42,2.63,4.93,7.31,11.01,11.28,8.82,5.87,3.72,2.01,2.11,0.79,0.74,0.57,0.17,0.07,0.02,0.02,0.02,0.02,0.0,0.0,0.0
