0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2013-06-17,2013-06-24,2013-07-01,2013-07-08,2013-07-15,2013-07-22,2013-07-29,2013-08-05,2013-08-12,2013-08-19,2013-08-26,2013-09-02,2013-09-09,2013-09-16,2013-09-23,2013-09-30
2013-06-24,2013-07-01,2013-07-08,2013-07-15,2013-07-22,2013-07-29,2013-08-05,2013-08-12,2013-08-19,2013-08-26,2013-09-02,2013-09-09,2013-09-16,2013-09-23,2013-09-30,2013-10-07
2013-07-01,2013-07-08,2013-07-15,2013-07-22,2013-07-29,2013-08-05,2013-08-12,2013-08-19,2013-08-26,2013-09-02,2013-09-09,2013-09-16,2013-09-23,2013-09-30,2013-10-07,2013-10-14
2013-07-08,2013-07-15,2013-07-22,2013-07-29,2013-08-05,2013-08-12,2013-08-19,2013-08-26,2013-09-02,2013-09-09,2013-09-16,2013-09-23,2013-09-30,2013-10-07,2013-10-14,2013-10-21
2013-07-15,2013-07-22,2013-07-29,2013-08-05,2013-08-12,2013-08-19,2013-08-26,2013-09-02,2013-09-09,2013-09-16,2013-09-23,2013-09-30,2013-10-07,2013-10-14,2013-10-21,2013-10-28
2013-07-22,2013-07-29,2013-08-05,2013-08-12,2013-08-19,2013-08-26,2013-09-02,2013-09-09,2013-09-16,2013-09-23,2013-09-30,2013-10-07,2013-10-14,2013-10-21,2013-10-28,2013-11-04
2013-07-29,2013-08-05,2013-08-12,2013-08-19,2013-08-26,2013-09-02,2013-09-09,2013-09-16,2013-09-23,2013-09-30,2013-10-07,2013-10-14,2013-10-21,2013-10-28,2013-11-04,2013-11-11
2013-08-05,2013-08-12,2013-08-19,2013-08-26,2013-09-02,2013-09-09,2013-09-16,2013-09-23,2013-09-30,2013-10-07,2013-10-14,2013-10-21,2013-10-28,2013-11-04,2013-11-11,2013-11-18
2013-08-12,2013-08-19,2013-08-26,2013-09-02,2013-09-09,2013-09-16,2013-09-23,2013-09-30,2013-10-07,2013-10-14,2013-10-21,2013-10-28,2013-11-04,2013-11-11,2013-11-18,2013-11-25
2013-08-19,2013-08-26,2013-09-02,2013-09-09,2013-09-16,2013-09-23,2013-09-30,2013-10-07,2013-10-14,2013-10-21,2013-10-28,2013-11-04,2013-11-11,2013-11-18,2013-11-25,2013-12-02
2013-08-26,2013-09-02,2013-09-09,2013-09-16,2013-09-23,2013-09-30,2013-10-07,2013-10-14,2013-10-21,2013-10-28,2013-11-04,2013-11-11,2013-11-18,2013-11-25,2013-12-02,2013-12-09
2013-09-02,2013-09-09,2013-09-16,2013-09-23,2013-09-30,2013-10-07,2013-10-14,2013-10-21,2013-10-28,2013-11-04,2013-11-11,2013-11-18,2013-11-25,2013-12-02,2013-12-09,2013-12-16
2013-09-09,2013-09-16,2013-09-23,2013-09-30,2013-10-07,2013-10-14,2013-10-21,2013-10-28,2013-11-04,2013-11-11,2013-11-18,2013-11-25,2013-12-02,2013-12-09,2013-12-16,2013-12-23
2013-09-16,2013-09-23,2013-09-30,2013-10-07,2013-10-14,2013-10-21,2013-10-28,2013-11-04,2013-11-11,2013-11-18,2013-11-25,2013-12-02,2013-12-09,2013-12-16,2013-12-23,2013-12-30
2013-09-23,2013-09-30,2013-10-07,2013-10-14,2013-10-21,2013-10-28,2013-11-04,2013-11-11,2013-11-18,2013-11-25,2013-12-02,2013-12-09,2013-12-16,2013-12-23,2013-12-30,2014-01-06
2013-09-30,2013-10-07,2013-10-14,2013-10-21,2013-10-28,2013-11-04,2013-11-11,2013-11-18,2013-11-25,2013-12-02,2013-12-09,2013-12-16,2013-12-23,2013-12-30,2014-01-06,2014-01-13
2013-10-07,2013-10-14,2013-10-21,2013-10-28,2013-11-04,2013-11-11,2013-11-18,2013-11-25,2013-12-02,2013-12-09,2013-12-16,2013-12-23,2013-12-30,2014-01-06,2014-01-13,2014-01-20
2013-10-14,2013-10-21,2013-10-28,2013-11-04,2013-11-11,2013-11-18,2013-11-25,2013-12-02,2013-12-09,2013-12-16,2013-12-23,2013-12-30,2014-01-06,2014-01-13,2014-01-20,2014-01-27
2013-10-21,2013-10-28,2013-11-04,2013-11-11,2013-11-18,2013-11-25,2013-12-02,2013-12-09,2013-12-16,2013-12-23,2013-12-30,2014-01-06,2014-01-13,2014-01-20,2014-01-27,2014-02-03
2013-10-28,2013-11-04,2013-11-11,2013-11-18,2013-11-25,2013-12-02,2013-12-09,2013-12-16,2013-12-23,2013-12-30,2014-01-06,2014-01-13,2014-01-20,2014-01-27,2014-02-03,2014-02-10
2013-11-04,2013-11-11,2013-11-18,2013-11-25,2013-12-02,2013-12-09,2013-12-16,2013-12-23,2013-12-30,2014-01-06,2014-01-13,2014-01-20,2014-01-27,2014-02-03,2014-02-10,2014-02-17
2013-11-11,2013-11-18,2013-11-25,2013-12-02,2013-12-09,2013-12-16,2013-12-23,2013-12-30,2014-01-06,2014-01-13,2014-01-20,2014-01-27,2014-02-03,2014-02-10,2014-02-17,2014-02-24
2013-11-18,2013-11-25,2013-12-02,2013-12-09,2013-12-16,2013-12-23,2013-12-30,2014-01-06,2014-01-13,2014-01-20,2014-01-27,2014-02-03,2014-02-10,2014-02-17,2014-02-24,2014-03-03
2013-11-25,2013-12-02,2013-12-09,2013-12-16,2013-12-23,2013-12-30,2014-01-06,2014-01-13,2014-01-20,2014-01-27,2014-02-03,2014-02-10,2014-02-17,2014-02-24,2014-03-03,2014-03-10
2013-12-02,2013-12-09,2013-12-16,2013-12-23,2013-12-30,2014-01-06,2014-01-13,2014-01-20,2014-01-27,2014-02-03,2014-02-10,2014-02-17,2014-02-24,2014-03-03,2014-03-10,2014-03-17
2013-12-09,2013-12-16,2013-12-23,2013-12-30,2014-01-06,2014-01-13,2014-01-20,2014-01-27,2014-02-03,2014-02-10,2014-02-17,2014-02-24,2014-03-03,2014-03-10,2014-03-17,2014-03-24
2013-12-16,2013-12-23,2013-12-30,2014-01-06,2014-01-13,2014-01-20,2014-01-27,2014-02-03,2014-02-10,2014-02-17,2014-02-24,2014-03-03,2014-03-10,2014-03-17,2014-03-24,2014-03-31
2013-12-23,2013-12-30,2014-01-06,2014-01-13,2014-01-20,2014-01-27,2014-02-03,2014-02-10,2014-02-17,2014-02-24,2014-03-03,2014-03-10,2014-03-17,2014-03-24,2014-03-31,2014-04-07
2013-12-30,2014-01-06,2014-01-13,2014-01-20,2014-01-27,2014-02-03,2014-02-10,2014-02-17,2014-02-24,2014-03-03,2014-03-10,2014-03-17,2014-03-24,2014-03-31,2014-04-07,2014-04-14
2014-01-06,2014-01-13,2014-01-20,2014-01-27,2014-02-03,2014-02-10,2014-02-17,2014-02-24,2014-03-03,2014-03-10,2014-03-17,2014-03-24,2014-03-31,2014-04-07,2014-04-14,2014-04-21
2014-01-13,2014-01-20,2014-01-27,2014-02-03,2014-02-10,2014-02-17,2014-02-24,2014-03-03,2014-03-10,2014-03-17,2014-03-24,2014-03-31,2014-04-07,2014-04-14,2014-04-21,2014-04-28
2014-01-20,2014-01-27,2014-02-03,2014-02-10,2014-02-17,2014-02-24,2014-03-03,2014-03-10,2014-03-17,2014-03-24,2014-03-31,2014-04-07,2014-04-14,2014-04-21,2014-04-28,2014-05-05
2014-01-27,2014-02-03,2014-02-10,2014-02-17,2014-02-24,2014-03-03,2014-03-10,2014-03-17,2014-03-24,2014-03-31,2014-04-07,2014-04-14,2014-04-21,2014-04-28,2014-05-05,2014-05-12
2014-02-03,2014-02-10,2014-02-17,2014-02-24,2014-03-03,2014-03-10,2014-03-17,2014-03-24,2014-03-31,2014-04-07,2014-04-14,2014-04-21,2014-04-28,2014-05-05,2014-05-12,2014-05-19
2014-02-10,2014-02-17,2014-02-24,2014-03-03,2014-03-10,2014-03-17,2014-03-24,2014-03-31,2014-04-07,2014-04-14,2014-04-21,2014-04-28,2014-05-05,2014-05-12,2014-05-19,2014-05-26
2014-02-17,2014-02-24,2014-03-03,2014-03-10,2014-03-17,2014-03-24,2014-03-31,2014-04-07,2014-04-14,2014-04-21,2014-04-28,2014-05-05,2014-05-12,2014-05-19,2014-05-26,2014-06-02
2014-02-24,2014-03-03,2014-03-10,2014-03-17,2014-03-24,2014-03-31,2014-04-07,2014-04-14,2014-04-21,2014-04-28,2014-05-05,2014-05-12,2014-05-19,2014-05-26,2014-06-02,2014-06-09
2014-03-03,2014-03-10,2014-03-17,2014-03-24,2014-03-31,2014-04-07,2014-04-14,2014-04-21,2014-04-28,2014-05-05,2014-05-12,2014-05-19,2014-05-26,2014-06-02,2014-06-09,2014-06-16
2014-03-10,2014-03-17,2014-03-24,2014-03-31,2014-04-07,2014-04-14,2014-04-21,2014-04-28,2014-05-05,2014-05-12,2014-05-19,2014-05-26,2014-06-02,2014-06-09,2014-06-16,2014-06-23
2014-03-17,2014-03-24,2014-03-31,2014-04-07,2014-04-14,2014-04-21,2014-04-28,2014-05-05,2014-05-12,2014-05-19,2014-05-26,2014-06-02,2014-06-09,2014-06-16,2014-06-23,2014-06-30
2014-03-24,2014-03-31,2014-04-07,2014-04-14,2014-04-21,2014-04-28,2014-05-05,2014-05-12,2014-05-19,2014-05-26,2014-06-02,2014-06-09,2014-06-16,2014-06-23,2014-06-30,2014-07-07
2014-03-31,2014-04-07,2014-04-14,2014-04-21,2014-04-28,2014-05-05,2014-05-12,2014-05-19,2014-05-26,2014-06-02,2014-06-09,2014-06-16,2014-06-23,2014-06-30,2014-07-07,2014-07-14
2014-04-07,2014-04-14,2014-04-21,2014-04-28,2014-05-05,2014-05-12,2014-05-19,2014-05-26,2014-06-02,2014-06-09,2014-06-16,2014-06-23,2014-06-30,2014-07-07,2014-07-14,2014-07-21
2014-04-14,2014-04-21,2014-04-28,2014-05-05,2014-05-12,2014-05-19,2014-05-26,2014-06-02,2014-06-09,2014-06-16,2014-06-23,2014-06-30,2014-07-07,2014-07-14,2014-07-21,2014-07-28
2014-04-21,2014-04-28,2014-05-05,2014-05-12,2014-05-19,2014-05-26,2014-06-02,2014-06-09,2014-06-16,2014-06-23,2014-06-30,2014-07-07,2014-07-14,2014-07-21,2014-07-28,2014-08-04
2014-04-28,2014-05-05,2014-05-12,2014-05-19,2014-05-26,2014-06-02,2014-06-09,2014-06-16,2014-06-23,2014-06-30,2014-07-07,2014-07-14,2014-07-21,2014-07-28,2014-08-04,2014-08-11
