0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.06,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.03
0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0
0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.06
0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.03
0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.15
0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.26
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.32
0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,0.35
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,1.89
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,6.6
0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,10.3
0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.08
0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,9.43
0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,11.26
0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,8.03
0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.23
0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,6.66
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,5.27,5.27
0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,5.27,4.74,4.74
0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,5.27,4.74,2.94,2.94
0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,5.27,4.74,2.94,1.37,1.37
0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,5.27,4.74,2.94,1.37,0.49,0.49
0.0,0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,5.27,4.74,2.94,1.37,0.49,0.2,0.2
0.0,0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,5.27,4.74,2.94,1.37,0.49,0.2,0.17,0.17
0.0,0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,5.27,4.74,2.94,1.37,0.49,0.2,0.17,0.06,0.06
0.03,0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,5.27,4.74,2.94,1.37,0.49,0.2,0.17,0.06,0.0,0.0
0.06,0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,5.27,4.74,2.94,1.37,0.49,0.2,0.17,0.06,0.0,0.03,0.03
0.03,0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,5.27,4.74,2.94,1.37,0.49,0.2,0.17,0.06,0.0,0.03,0.03,0.03
0.15,0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,5.27,4.74,2.94,1.37,0.49,0.2,0.17,0.06,0.0,0.03,0.03,0.0,0.0
0.26,0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,5.27,4.74,2.94,1.37,0.49,0.2,0.17,0.06,0.0,0.03,0.03,0.0,0.0,0.0
0.32,0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,5.27,4.74,2.94,1.37,0.49,0.2,0.17,0.06,0.0,0.03,0.03,0.0,0.0,0.03,0.03
0.35,1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,5.27,4.74,2.94,1.37,0.49,0.2,0.17,0.06,0.0,0.03,0.03,0.0,0.0,0.03,0.0,0.0
1.89,6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,5.27,4.74,2.94,1.37,0.49,0.2,0.17,0.06,0.0,0.03,0.03,0.0,0.0,0.03,0.0,0.0,0.0
6.6,10.3,9.08,9.43,11.26,8.03,6.23,6.66,5.27,4.74,2.94,1.37,0.49,0.2,0.17,0.06,0.0,0.03,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0
